UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2023,1,6,Quiet Power: The Secret Strengths of Introverts (unabridged),9.7811E+12,Susan Cain,"Juvenile Nonfiction, Sociology",Books on Tape,2016
Physical,Horizon,BOOK,2023,1,1,Let me go / Chelsea Cain.,"0312619812, 9780312619817","Cain, Chelsea","Sheridan Archie Fiction, Ward Susan Fictitious character Fiction, Women journalists Fiction, Murder Investigation Fiction, Mystery fiction","Minotaur Books,",2013
Physical,Horizon,BOOK,2023,1,4,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,"1611734207, 9781611734201","Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations, Large type books","Center Point Pub.,",2012
Digital,OverDrive,EBOOK,2023,1,3,Quiet Power: The Secret Strengths of Introverted Kids,9.7811E+12,Susan Cain,"Juvenile Nonfiction, Sociology","Penguin Group (USA), Inc.",2016
Digital,OverDrive,AUDIOBOOK,2023,1,59,Bittersweet: How Sorrow and Longing Make Us Whole (unabridged),9.78059E+12,Susan Cain,"Psychology, Self-Improvement, Nonfiction",Books on Tape,2022
Digital,OverDrive,AUDIOBOOK,2023,1,40,Quiet: The Power of Introverts in a World That Can't Stop Talking (unabridged),9.78142E+12,Susan Cain,"Psychology, Self-Improvement, Nonfiction",Books on Tape,2017
Physical,Horizon,BOOK,2023,1,3,Quiet power : the secret strengths of introverts / Susan Cain with Gregory Mone and Erica Moroz ; illustrated by Grant Snider.,"0399186727, 0803740603, 9780399186721, 9780803740600","Cain, Susan","Introverts Juvenile literature, Self esteem Juvenile literature, Interpersonal relations Juvenile literature, Families Juvenile literature","Dial Books for Young Readers,",2016
Physical,Horizon,BOOK,2023,1,24,Bittersweet : how sorrow and longing make us whole / Susan Cain.,"0451499786, 9780451499783","Cain, Susan","Grief, Desire, Melancholy, Self actualization Psychology, Self realization, PSYCHOLOGY Emotions, SELF HELP Personal Growth General, SELF HELP Spiritual, Self help publications","Crown,",[2022]
Physical,Horizon,SOUNDDISC,2023,1,2,Bittersweet : how sorrow and longing make us whole / Susan Cain.,"0593506057, 9780593506059","Cain, Susan","Grief, Desire, Melancholy, Self actualization Psychology, Self realization, PSYCHOLOGY Emotions, SELF HELP Personal Growth General, SELF HELP Spiritual, Audiobooks, Self help publications","Random House Audio,",[2022]
Digital,OverDrive,EBOOK,2023,1,68,Quiet: The Power of Introverts in a World That Can't Stop Talking,9.78031E+12,Susan Cain,"Business, Psychology, Self-Improvement, Nonfiction","Random House, Inc.",2012
Digital,OverDrive,EBOOK,2023,1,47,Bittersweet: How Sorrow and Longing Make Us Whole,9.78045E+12,Susan Cain,"Psychology, Self-Improvement, Nonfiction","Random House, Inc.",2022
Physical,Horizon,BOOK,2023,1,19,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,"0307352153, 9780307352156","Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations, Temperament, Interpersonal relations, Interpersonal relations Popular Works","Crown Publishers, a division of Random House, Inc.,",[2013]
Physical,Horizon,BOOK,2023,1,4,Bittersweet : how sorrow and longing make us whole / Susan Cain.,"0593559576, 9780593559574","Cain, Susan","Grief, Desire, Melancholy, Self actualization Psychology, Self realization, Large type books, Self help publications","Random House Large Print,",[2022]
Physical,Horizon,BOOK,2023,1,5,Blast off / by Linda C. Cain and Susan Rosenbaum ; illustrated by Leo and Diane Dillon.,"1681375680, 9781681375687","Cain, Linda C.","Astronauts Juvenile fiction, Outer space Juvenile fiction, African Americans Juvenile fiction, Astronauts Fiction, Outer space Fiction, African Americans Fiction, JUVENILE FICTION Action Adventure General, Picture books","New York Review Children's Collection,",[2021]
Physical,Horizon,SOUNDDISC,2023,1,1,Quiet : [the power of introverts in a world that can't stop talking] / Susan Cain.,"0739341243, 1415959129, 1984884360, 9780739341247, 9781415959121, 9781984884367","Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations, Audiobooks","Random House, Inc. : Books on Tape,",[2012]
Physical,Horizon,BOOK,2022,2,11,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,,"Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations","Crown,",2012
Physical,Horizon,BOOK,2022,2,2,Quiet power : the secret strengths of introverts / Susan Cain with Gregory Mone and Erica Moroz ; illustrated by Grant Snider.,,"Cain, Susan","Introverts Juvenile literature, Self esteem Juvenile literature, Interpersonal relations Juvenile literature, Families Juvenile literature","Dial Books for Young Readers,",2016
Digital,OverDrive,EBOOK,2022,2,57,Quiet: The Power of Introverts in a World That Can't Stop Talking,,Susan Cain,"Business, Psychology, Self-Improvement, Nonfiction","Random House, Inc.",2012
Digital,OverDrive,AUDIOBOOK,2022,2,39,Quiet: The Power of Introverts in a World That Can't Stop Talking (unabridged),,Susan Cain,"Psychology, Self-Improvement, Nonfiction",Books on Tape,2017
Digital,OverDrive,EBOOK,2022,3,69,Quiet: The Power of Introverts in a World That Can't Stop Talking,,Susan Cain,"Business, Psychology, Self-Improvement, Nonfiction","Random House, Inc.",2012
Digital,OverDrive,AUDIOBOOK,2022,3,7,Quiet Power: The Secret Strengths of Introverts (unabridged),,Susan Cain,"Juvenile Nonfiction, Sociology",Books on Tape,2016
Physical,Horizon,BOOK,2022,3,19,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,,"Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations","Crown,",2012
Physical,Horizon,BOOK,2022,3,1,Let me go / Chelsea Cain.,,"Cain, Chelsea","Sheridan Archie Fiction, Ward Susan Fictitious character Fiction, Women journalists Fiction, Murder Investigation Fiction, Mystery fiction","Minotaur Books,",2013
Physical,Horizon,SOUNDDISC,2022,3,1,Quiet : [the power of introverts in a world that can't stop talking] / Susan Cain.,,"Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations, Audiobooks","Random House, Inc. : Books on Tape,",[2012]
Digital,OverDrive,EBOOK,2022,3,2,Quiet Power: The Secret Strengths of Introverted Kids,,Susan Cain,"Juvenile Nonfiction, Sociology","Penguin Group (USA), Inc.",2016
Physical,Horizon,BOOK,2022,3,4,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,,"Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations, Large type books","Center Point Pub.,",2012
Physical,Horizon,BOOK,2022,3,3,Quiet power : the secret strengths of introverts / Susan Cain with Gregory Mone and Erica Moroz ; illustrated by Grant Snider.,,"Cain, Susan","Introverts Juvenile literature, Self esteem Juvenile literature, Interpersonal relations Juvenile literature, Families Juvenile literature","Dial Books for Young Readers,",2016
Physical,Horizon,BOOK,2022,3,1,"Eldercare 101 : a practical guide to later life planning, care, and wellbeing / Mary Jo Saavedra ; in collaboration with Susan Cain McCarty, Theresa Giddings, Lawrence Hansen, Benjamin B. Hellickson, Joyce Sjoberg and Sara K. Yen ; with Ruth Matinko-Walk, editor.",,"Saavedra, Mary Jo","Older people Care, Caregivers, Older people Health and hygiene, Older people Finance Personal, Older people Religious life","Rowman & Littlefield,",c2016.
Physical,Horizon,BOOK,2022,3,5,Blast off / by Linda C. Cain and Susan Rosenbaum ; illustrated by Leo and Diane Dillon.,,"Cain, Linda C.","Astronauts Juvenile fiction, Outer space Juvenile fiction, African Americans Juvenile fiction, Astronauts Fiction, Outer space Fiction, African Americans Fiction, JUVENILE FICTION Action Adventure General, Picture books","New York Review Children's Collection,",[2021]
Digital,OverDrive,AUDIOBOOK,2022,3,40,Quiet: The Power of Introverts in a World That Can't Stop Talking (unabridged),,Susan Cain,"Psychology, Self-Improvement, Nonfiction",Books on Tape,2017
Physical,Horizon,BOOK,2022,4,2,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,,"Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations, Large type books","Center Point Pub.,",2012
Physical,Horizon,BOOK,2022,4,223,Bittersweet : how sorrow and longing make us whole / Susan Cain.,,"Cain, Susan","Grief, Desire, Melancholy, Self actualization Psychology, Self realization, PSYCHOLOGY Emotions, SELF HELP Personal Growth General, SELF HELP Spiritual, Self help publications","Crown,",[2022]
Physical,Horizon,SOUNDDISC,2022,4,1,The night season / Chelsea Cain.,,"Cain, Chelsea","Sheridan Archie Fiction, Ward Susan Fictitious character Fiction, Police Oregon Portland Fiction, Women journalists Fiction, Serial murderers Fiction, Portland Or Fiction, Mystery fiction","Macmillan Audio,",[2011]
Physical,Horizon,BOOK,2022,4,18,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,,"Cain, Susan","Introverts, Introversion, Extraversion, Interpersonal relations","Crown,",2012
Physical,Horizon,BOOK,2022,4,4,Quiet power : the secret strengths of introverts / Susan Cain with Gregory Mone and Erica Moroz ; illustrated by Grant Snider.,,"Cain, Susan","Introverts Juvenile literature, Self esteem Juvenile literature, Interpersonal relations Juvenile literature, Families Juvenile literature","Dial Books for Young Readers,",2016
Digital,OverDrive,EBOOK,2022,4,75,Quiet: The Power of Introverts in a World That Can't Stop Talking,,Susan Cain,"Business, Psychology, Self-Improvement, Nonfiction","Random House, Inc.",2012
Digital,OverDrive,AUDIOBOOK,2022,4,5,Quiet Power: The Secret Strengths of Introverts (unabridged),,Susan Cain,"Juvenile Nonfiction, Sociology",Books on Tape,2016
Digital,OverDrive,AUDIOBOOK,2022,4,26,Quiet: The Power of Introverts in a World That Can't Stop Talking (unabridged),,Susan Cain,"Psychology, Self-Improvement, Nonfiction",Books on Tape,2017
Digital,OverDrive,EBOOK,2022,4,8,Quiet Power: The Secret Strengths of Introverted Kids,,Susan Cain,"Juvenile Nonfiction, Sociology","Penguin Group (USA), Inc.",2016
Physical,Horizon,BOOK,2022,4,2,"Eldercare 101 : a practical guide to later life planning, care, and wellbeing / Mary Jo Saavedra ; in collaboration with Susan Cain McCarty, Theresa Giddings, Lawrence Hansen, Benjamin B. Hellickson, Joyce Sjoberg and Sara K. Yen ; with Ruth Matinko-Walk, editor.",,"Saavedra, Mary Jo","Older people Care, Caregivers, Older people Health and hygiene, Older people Finance Personal, Older people Religious life","Rowman & Littlefield,",c2016.
Physical,Horizon,BOOK,2022,4,4,Blast off / by Linda C. Cain and Susan Rosenbaum ; illustrated by Leo and Diane Dillon.,,"Cain, Linda C.","Astronauts Juvenile fiction, Outer space Juvenile fiction, African Americans Juvenile fiction, Astronauts Fiction, Outer space Fiction, African Americans Fiction, JUVENILE FICTION Action Adventure General, Picture books","New York Review Children's Collection,",[2021]
